ED	SF	R/O	Country	Code	Username	UUID	Artist	Song	URL	Start	End
25	3	6	Australia	au	phoenix_05	<@502736866169061386>	AC/DC	Back In Black	https://www.youtube.com/watch?v=pAgnJDJN4VA		
25	3	7	Basque County	es	pompom1204	<@1072519099910987847>	Morad, Gims	SEYA	https://www.youtube.com/watch?v=uUAJFN7-FdQ		
25	3	8	Marshall Is.	mh	Rayn	<@641381678060929044>	Chapell Roan	Pink Pony Club	https://youtu.be/GR3Liudev18		
25	3	9	Japan	jp	Realspace	<@932380757371015288>	Psynwav	I've Had It With This Name	https://www.youtube.com/watch?v=3eETMvOWd4Q		
25	3	10	Malta	mt	Robbé	<@1007898924587159572>	Britney Spears	Baby One More Time	https://youtu.be/C-u5WLJ9Yk4		
25	3	11	South Korea	kr	sasha	<@814863263732989983>	aespa	에스파 Espa [Drama]	https://youtu.be/D8VEhcPeSlc		
25	3	12	Dominican Republic	do	seattleseahawksbest	<@1331060026290212925>	John Denver	County Roads, Take Me Home	https://www.youtube.com/watch?v=1vrEljMfXYo		
25	3	13	Cuba	cu	shire	<@808924802453995532>	Backstreet Boys	I Want It That Way	https://youtu.be/4fndeDfaWCg		
25	3	14	Sweden	se	SKYY	<@686512242627313664>	Clean Bandit ft. Zara Larsson	Symphony	https://www.youtube.com/watch?v=aatr_2MstrI		
25	3	15	Gibraltar	gi	tuxolotl_gelato	<@1185006935490179244>	KSI	Thick Of It	https://youtu.be/At8v_Yc044Y		
25	3	16	Palau	pw	កាបូន២៦ (Carbon)	<@431227548605874176>	Rebecca Black ft. Dorian Electra, Big Freedia, 3OH!3	Friday	https://www.youtube.com/watch?v=iCFOcqsnc9Y		
25	3	17	Canada	ca	Sap	<@721519383339335681>	Birds of Bellwoods	Melatonin	https://youtu.be/7oHc7vpV5DU		
25	3	18	France	fr	Jojoman1	<@162943685573476352>	Caravan Palace	Lone Digger	https://youtu.be/UbQgXeY_zi4		
25	3	19	China	cn	gopher	<@614895184282648586>	Katherine Li	If I Weren't Me	https://youtu.be/oclnUlduLkY		
